LatD," ""LatM"""," ""LatS"""," ""NS"""," ""LonD"""," ""LonM"""," ""LonS"""," ""EW"""," ""City"""," ""State"""
39,55,11," ""N""",83,48,35," ""W"""," ""Springfield""", OH
37,13,12," ""N""",93,17,24," ""W"""," ""Springfield""", MO
42,5,59," ""N""",72,35,23," ""W"""," ""Springfield""", MA
39,47,59," ""N""",89,39,0," ""W"""," ""Springfield""", IL
41,40,48," ""N""",86,15,0," ""W"""," ""South Bend""", IN
43,32,24," ""N""",96,43,48," ""W"""," ""Sioux Falls""", SD
42,29,24," ""N""",96,23,23," ""W"""," ""Sioux City""", IA
44,47,59," ""N""",106,57,35," ""W"""," ""Sheridan""", WY
35,13,47," ""N""",96,40,48," ""W"""," ""Seminole""", OK
38,42,35," ""N""",93,13,48," ""W"""," ""Sedalia""", MO
41,24,35," ""N""",75,40,11," ""W"""," ""Scranton""", PA
41,52,11," ""N""",103,39,36," ""W"""," ""Scottsbluff""", NB
42,49,11," ""N""",73,56,59," ""W"""," ""Schenectady""", NY
38,26,23," ""N""",122,43,12," ""W"""," ""Santa Rosa""", CA
35,40,48," ""N""",105,56,59," ""W"""," ""Santa Fe""", NM
37,20,24," ""N""",121,52,47," ""W"""," ""San Jose""", CA
37,46,47," ""N""",122,25,11," ""W"""," ""San Francisco""", CA
41,27,0," ""N""",82,42,35," ""W"""," ""Sandusky""", OH
40,45,35," ""N""",111,52,47," ""W"""," ""Salt Lake City""", UT
38,22,11," ""N""",75,35,59," ""W"""," ""Salisbury""", MD
36,40,11," ""N""",121,39,0," ""W"""," ""Salinas""", CA
38,50,24," ""N""",97,36,36," ""W"""," ""Salina""", KS
38,31,47," ""N""",106,0,0," ""W"""," ""Salida""", CO
44,56,23," ""N""",123,1,47," ""W"""," ""Salem""", OR
44,57,0," ""N""",93,5,59," ""W"""," ""Saint Paul""", MN
38,37,11," ""N""",90,11,24," ""W"""," ""Saint Louis""", MO
39,46,12," ""N""",94,50,23," ""W"""," ""Saint Joseph""", MO
42,5,59," ""N""",86,28,48," ""W"""," ""Saint Joseph""", MI
44,25,11," ""N""",72,1,11," ""W"""," ""Saint Johnsbury""", VT
43,25,48," ""N""",83,56,24," ""W"""," ""Saginaw""", MI
38,35,24," ""N""",121,29,23," ""W"""," ""Sacramento""", CA
43,36,36," ""N""",72,58,12," ""W"""," ""Rutland""", VT
35,56,23," ""N""",77,48,0," ""W"""," ""Rocky Mount""", NC
41,35,24," ""N""",109,13,48," ""W"""," ""Rock Springs""", WY
42,16,12," ""N""",89,5,59," ""W"""," ""Rockford""", IL
43,9,35," ""N""",77,36,36," ""W"""," ""Rochester""", NY
44,1,12," ""N""",92,27,35," ""W"""," ""Rochester""", MN
37,16,12," ""N""",79,56,24," ""W"""," ""Roanoke""", VA
37,32,24," ""N""",77,26,59," ""W"""," ""Richmond""", VA
39,49,48," ""N""",84,53,23," ""W"""," ""Richmond""", IN
38,46,12," ""N""",112,5,23," ""W"""," ""Richfield""", UT
39,31,12," ""N""",119,48,35," ""W"""," ""Reno""", NV
40,10,48," ""N""",122,14,23," ""W"""," ""Red Bluff""", CA
40,19,48," ""N""",75,55,48," ""W"""," ""Reading""", PA
41,9,35," ""N""",81,14,23," ""W"""," ""Ravenna""", OH 
